,uid,sentence_text,tokens,profession,g,profession_first_index,g_first_index,predicted gender,stereotype,distance,num_of_pronouns,corpus,data_index
21,21,"In addition , patient was also having shortness of breath mostly on lying flat and he has recently started sleeping in a recliner .","['In', 'addition', ',', 'patient', 'was', 'also', 'having', 'shortness', 'of', 'breath', 'mostly', 'on', 'lying', 'flat', 'and', 'he', 'has', 'recently', 'started', 'sleeping', 'in', 'a', 'recliner', '.']",patient,he,3,15,Male,0,12,1,covid19,11
22,22,""" When they provide him or her with treatment and care , doctors and nurses should put emphasis on the patient himself or herself .","['""', 'When', 'they', 'provide', 'him', 'or', 'her', 'with', 'treatment', 'and', 'care', ',', 'doctors', 'and', 'nurses', 'should', 'put', 'emphasis', 'on', 'the', 'patient', 'himself', 'or', 'herself', '.']",patient,herself,20,23,Female,0,3,3,covid19,10
23,23,"Twenty years ago , 45 the patient consulted her physician because of rhinitis , which was consecutively diagnosed 46 as CRSwNP .","['Twenty', 'years', 'ago', ',', '45', 'the', 'patient', 'consulted', 'her', 'physician', 'because', 'of', 'rhinitis', ',', 'which', 'was', 'consecutively', 'diagnosed', '46', 'as', 'CRSwNP', '.']",patient,her,6,8,Female,0,2,1,covid19,17
24,24,"In our cohort , the only patient who died was a patient with NDMM receiving frontline therapy , and she showed signs of additional bacterial infection .","['In', 'our', 'cohort', ',', 'the', 'only', 'patient', 'who', 'died', 'was', 'a', 'patient', 'with', 'NDMM', 'receiving', 'frontline', 'therapy', ',', 'and', 'she', 'showed', 'signs', 'of', 'additional', 'bacterial', 'infection', '.']",patient,she,6,19,Female,0,13,1,covid19,11
25,25,"Further questioning revealed that the patient had a fever for the last 14 days , and he later tested positive for COVID-19 infection only .","['Further', 'questioning', 'revealed', 'that', 'the', 'patient', 'had', 'a', 'fever', 'for', 'the', 'last', '14', 'days', ',', 'and', 'he', 'later', 'tested', 'positive', 'for', 'COVID-19', 'infection', 'only', '.']",patient,he,5,16,Male,0,11,1,covid19,11
26,26,"Results In the pre-COVID era , an average aesthetic surgeon was finely balancing his profession , personal lifestyle , learning , and recreation .","['Results', 'In', 'the', 'pre', '-', 'COVID', 'era', ',', 'an', 'average', 'aesthetic', 'surgeon', 'was', 'finely', 'balancing', 'his', 'profession', ',', 'personal', 'lifestyle', ',', 'learning', ',', 'and', 'recreation', '.']",surgeon,his,11,15,Male,1,4,1,covid19,17
27,27,"As shown in Fig. 3 ( pink bounding boxes ) , if a person is occluded by an object or by other people , CenterNet predicts a tight bounding box that only contains the visible part of the person , ignoring his full shape .","['As', 'shown', 'in', 'Fig', '.', '3', '(', 'pink', 'bounding', 'boxes', ')', ',', 'if', 'a', 'person', 'is', 'occluded', 'by', 'an', 'object', 'or', 'by', 'other', 'people', ',', 'CenterNet', 'predicts', 'a', 'tight', 'bounding', 'box', 'that', 'only', 'contains', 'the', 'visible', 'part', 'of', 'the', 'person', ',', 'ignoring', 'his', 'full', 'shape', '.']",person,his,39,42,Male,-1,3,1,covid19,17
28,28,"I have shown that this student pushes back against advice with claims of epistemic primacy , and more subtly when she delivers unmarked acknowledgments such as ' okay ' , particularly when these are produced more quietly , with slightly raising intonation or stretched , showing that she may be less than convinced .","['I', 'have', 'shown', 'that', 'this', 'student', 'pushes', 'back', 'against', 'advice', 'with', 'claims', 'of', 'epistemic', 'primacy', ',', 'and', 'more', 'subtly', 'when', 'she', 'delivers', 'unmarked', 'acknowledgments', 'such', 'as', ""'"", 'okay', ""'"", ',', 'particularly', 'when', 'these', 'are', 'produced', 'more', 'quietly', ',', 'with', 'slightly', 'raising', 'intonation', 'or', 'stretched', ',', 'showing', 'that', 'she', 'may', 'be', 'less', 'than', 'convinced', '.']",student,she,5,47,Female,1,42,2,covid19,4
29,29,"Peter ( B23 ) is a musician and music editor who has been using his MacBook Pro and a specialist application ( MainStage ) to emulate "" the sounds of pro keyboards like Roland RD pianos and synths when playing live "" .","['Peter', '(', 'B23', ')', 'is', 'a', 'musician', 'and', 'music', 'editor', 'who', 'has', 'been', 'using', 'his', 'MacBook', 'Pro', 'and', 'a', 'specialist', 'application', '(', 'MainStage', ')', 'to', 'emulate', '""', 'the', 'sounds', 'of', 'pro', 'keyboards', 'like', 'Roland', 'RD', 'pianos', 'and', 'synths', 'when', 'playing', 'live', '""', '.']",editor,his,9,14,Male,1,5,1,covid19,17
30,30,"Moreover , the patient reported that his 8-year-old daughter developed flu-like symptoms with a high-grade fever ( 40.7 C/105 F ) $ 1 week after his first symptoms .","['Moreover', ',', 'the', 'patient', 'reported', 'that', 'his', '8', '-', 'year', '-', 'old', 'daughter', 'developed', 'flu', '-', 'like', 'symptoms', 'with', 'a', 'high', '-', 'grade', 'fever', '(', '40.7', 'C/105', 'F', ')', '$', '1', 'week', 'after', 'his', 'first', 'symptoms', '.']",patient,his,3,6,Male,0,3,2,covid19,21
31,31,"A low probability of the patient forming her own immune response became the argument for starting therapy with hyperimmune SARS-CoV-2 convalescent plasma in combination with other therapeutic options , despite the lack of published data on similar experiences in the pediatric cohort .","['A', 'low', 'probability', 'of', 'the', 'patient', 'forming', 'her', 'own', 'immune', 'response', 'became', 'the', 'argument', 'for', 'starting', 'therapy', 'with', 'hyperimmune', 'SARS', '-', 'CoV-2', 'convalescent', 'plasma', 'in', 'combination', 'with', 'other', 'therapeutic', 'options', ',', 'despite', 'the', 'lack', 'of', 'published', 'data', 'on', 'similar', 'experiences', 'in', 'the', 'pediatric', 'cohort', '.']",patient,her,5,7,Female,0,2,1,covid19,17
32,32,We use genetic data from this child and his family to illustrate how comprehensive genetic profiling may also assist in the characterisation of 16p11.2 microdeletion syndrome .,"['We', 'use', 'genetic', 'data', 'from', 'this', 'child', 'and', 'his', 'family', 'to', 'illustrate', 'how', 'comprehensive', 'genetic', 'profiling', 'may', 'also', 'assist', 'in', 'the', 'characterisation', 'of', '16p11.2', 'microdeletion', 'syndrome', '.']",child,his,6,8,Male,1,2,1,covid19,20
33,33,"After the fourth dose of IVIG , the patient was able to close his eyes , frown , show his teeth , and smile .","['After', 'the', 'fourth', 'dose', 'of', 'IVIG', ',', 'the', 'patient', 'was', 'able', 'to', 'close', 'his', 'eyes', ',', 'frown', ',', 'show', 'his', 'teeth', ',', 'and', 'smile', '.']",patient,his,8,13,Male,0,5,2,covid19,17
34,34,"These two might not have any social contact in normal situation , however , when node j ( the student ) is sick , she can possibly pass infection to node i ( the nurse ) ; and this is the contact important for epidemic modeling purpose .","['These', 'two', 'might', 'not', 'have', 'any', 'social', 'contact', 'in', 'normal', 'situation', ',', 'however', ',', 'when', 'node', 'j', '(', 'the', 'student', ')', 'is', 'sick', ',', 'she', 'can', 'possibly', 'pass', 'infection', 'to', 'node', 'i', '(', 'the', 'nurse', ')', ';', 'and', 'this', 'is', 'the', 'contact', 'important', 'for', 'epidemic', 'modeling', 'purpose', '.']",student,she,19,24,Female,1,5,1,covid19,12
35,35,The patient went into home isolation with no symptoms and monitored her vitals twice daily after receiving confirmation of a positive RT-qPCR ( quantitative reverse transcription polymerase chain reaction ) result .,"['The', 'patient', 'went', 'into', 'home', 'isolation', 'with', 'no', 'symptoms', 'and', 'monitored', 'her', 'vitals', 'twice', 'daily', 'after', 'receiving', 'confirmation', 'of', 'a', 'positive', 'RT', '-', 'qPCR', '(', 'quantitative', 'reverse', 'transcription', 'polymerase', 'chain', 'reaction', ')', 'result', '.']",patient,her,1,11,Female,0,10,1,covid19,17
36,36,"In the following 24 hours , the patient experienced a clinically unpredictable dramatic worsening of his clinical condition due to the onset of severe respiratory distress despite adequate oxygen supply ( PaO2/FiO2 = 88 mmHg , respiratory rate higher than 35 breaths per minute ) .","['In', 'the', 'following', '24', 'hours', ',', 'the', 'patient', 'experienced', 'a', 'clinically', 'unpredictable', 'dramatic', 'worsening', 'of', 'his', 'clinical', 'condition', 'due', 'to', 'the', 'onset', 'of', 'severe', 'respiratory', 'distress', 'despite', 'adequate', 'oxygen', 'supply', '(', 'PaO2', '/', 'FiO2', '=', '88', 'mmHg', ',', 'respiratory', 'rate', 'higher', 'than', '35', 'breaths', 'per', 'minute', ')', '.']",patient,his,7,15,Male,0,8,1,covid19,17
37,37,The author declares that she has no conflict of interest,"['The', 'author', 'declares', 'that', 'she', 'has', 'no', 'conflict', 'of', 'interest']",author,she,1,4,Female,1,3,1,covid19,4
38,38,"With restricted resources , the student will be limited in conducting his own study .","['With', 'restricted', 'resources', ',', 'the', 'student', 'will', 'be', 'limited', 'in', 'conducting', 'his', 'own', 'study', '.']",student,his,5,11,Male,-1,6,1,covid19,17
39,39,"7 . When the infected person hath applyed this or some other Medicine of the like nature , he is laid in a warm bed , made with soft sheets , and well-covered with cloaths , to the intent he might there sweat three or four hours or longer , according to his strength , and whenby this means they could hardly provoke him to sweat , they laid tyles heated at the fire to his feet , which might , by reason of their extraordinary heat provoke sweat .","['7', '.', 'When', 'the', 'infected', 'person', 'hath', 'applyed', 'this', 'or', 'some', 'other', 'Medicine', 'of', 'the', 'like', 'nature', ',', 'he', 'is', 'laid', 'in', 'a', 'warm', 'bed', ',', 'made', 'with', 'soft', 'sheets', ',', 'and', 'well', '-', 'covered', 'with', 'cloaths', ',', 'to', 'the', 'intent', 'he', 'might', 'there', 'sweat', 'three', 'or', 'four', 'hours', 'or', 'longer', ',', 'according', 'to', 'his', 'strength', ',', 'and', 'whenby', 'this', 'means', 'they', 'could', 'hardly', 'provoke', 'him', 'to', 'sweat', ',', 'they', 'laid', 'tyles', 'heated', 'at', 'the', 'fire', 'to', 'his', 'feet', ',', 'which', 'might', ',', 'by', 'reason', 'of', 'their', 'extraordinary', 'heat', 'provoke', 'sweat', '.']",person,he,5,18,Male,-1,13,4,covid19,11
40,40,The author declares that he has no conflict of interest and no financial support .,"['The', 'author', 'declares', 'that', 'he', 'has', 'no', 'conflict', 'of', 'interest', 'and', 'no', 'financial', 'support', '.']",author,he,1,4,Male,-1,3,1,covid19,4
41,41,"The Sowetan ( 2019d ) reported on a teacher who was arrested for exchanging pornographic material with a 14-year-old learner with whom he was allegedly having a relationship ( Sowetan 2019d ) , and the Cape Argus ( 2019 ) reported that a deputy principal of a primary school was suspended following allegations that he molested several grade 7 girls .","['The', 'Sowetan', '(', '2019d', ')', 'reported', 'on', 'a', 'teacher', 'who', 'was', 'arrested', 'for', 'exchanging', 'pornographic', 'material', 'with', 'a', '14', '-', 'year', '-', 'old', 'learner', 'with', 'whom', 'he', 'was', 'allegedly', 'having', 'a', 'relationship', '(', 'Sowetan', '2019d', ')', ',', 'and', 'the', 'Cape', 'Argus', '(', '2019', ')', 'reported', 'that', 'a', 'deputy', 'principal', 'of', 'a', 'primary', 'school', 'was', 'suspended', 'following', 'allegations', 'that', 'he', 'molested', 'several', 'grade', '7', 'girls', '.']",teacher,he,8,26,Male,-1,14,2,covid19,18
42,42,"Farrell , army agent , had his place fired before he knew anything about it himself , and Capt .","['Farrell', ',', 'army', 'agent', ',', 'had', 'his', 'place', 'fired', 'before', 'he', 'knew', 'anything', 'about', 'it', 'himself', ',', 'and', 'Capt', '.']",agent,his,3,6,Male,-1,3,3,perseus,21
43,43,"Ingraham , formerly a useful officer of the National Navy , who had abandoned his flag and given his services to the Conspirators .","['Ingraham', ',', 'formerly', 'a', 'useful', 'officer', 'of', 'the', 'National', 'Navy', ',', 'who', 'had', 'abandoned', 'his', 'flag', 'and', 'given', 'his', 'services', 'to', 'the', 'Conspirators', '.']",officer,his,5,18,Male,1,13,2,perseus,21
44,44,"Their commanding officer is proud to render to them this just tribute of praise , and he is also proud to express his conviction that each other regiment of his brigade is worthy of , and , had circumstances allowed , would have won equal commendation .","['Their', 'commanding', 'officer', 'is', 'proud', 'to', 'render', 'to', 'them', 'this', 'just', 'tribute', 'of', 'praise', ',', 'and', 'he', 'is', 'also', 'proud', 'to', 'express', 'his', 'conviction', 'that', 'each', 'other', 'regiment', 'of', 'his', 'brigade', 'is', 'worthy', 'of', ',', 'and', ',', 'had', 'circumstances', 'allowed', ',', 'would', 'have', 'won', 'equal', 'commendation', '.']",officer,he,2,16,Male,1,14,3,perseus,11
45,45,"He ran no risk in laying an injunction on his friend and ship builder , that no vessels , under his construction , should pass into the hands of the Confederate Goverment .","['He', 'ran', 'no', 'risk', 'in', 'laying', 'an', 'injunction', 'on', 'his', 'friend', 'and', 'ship', 'builder', ',', 'that', 'no', 'vessels', ',', 'under', 'his', 'construction', ',', 'should', 'pass', 'into', 'the', 'hands', 'of', 'the', 'Confederate', 'Goverment', '.']",friend,his,10,9,Male,0,1,2,perseus,20
46,46,"Wright , the young professor of a Western college , who had lost his place by his bold advocacy of freedom , with a look of sharp concentration , in keeping with an intellect keen as a Damascus blade , closely watched the proceedings through his spectacles , opening his mouth only to speak directly to the purpose . ...","['Wright', ',', 'the', 'young', 'professor', 'of', 'a', 'Western', 'college', ',', 'who', 'had', 'lost', 'his', 'place', 'by', 'his', 'bold', 'advocacy', 'of', 'freedom', ',', 'with', 'a', 'look', 'of', 'sharp', 'concentration', ',', 'in', 'keeping', 'with', 'an', 'intellect', 'keen', 'as', 'a', 'Damascus', 'blade', ',', 'closely', 'watched', 'the', 'proceedings', 'through', 'his', 'spectacles', ',', 'opening', 'his', 'mouth', 'only', 'to', 'speak', 'directly', 'to', 'the', 'purpose', '.', '...']",professor,his,4,49,Male,1,45,4,perseus,21
47,47,"He appears to have been , according to the testimony of friend and foe , an exceedingly bad man ; cruel in his nature ; repulsive in features ; rude in manners ; and foul and profane in speech .","['He', 'appears', 'to', 'have', 'been', ',', 'according', 'to', 'the', 'testimony', 'of', 'friend', 'and', 'foe', ',', 'an', 'exceedingly', 'bad', 'man', ';', 'cruel', 'in', 'his', 'nature', ';', 'repulsive', 'in', 'features', ';', 'rude', 'in', 'manners', ';', 'and', 'foul', 'and', 'profane', 'in', 'speech', '.']",friend,his,11,22,Male,0,11,1,perseus,15
48,48,"When this person , as a child , had not yet shown what kind of man he would be , he came near being handed over to the Eleven The officers appointed to execute condemned criminals .","['When', 'this', 'person', ',', 'as', 'a', 'child', ',', 'had', 'not', 'yet', 'shown', 'what', 'kind', 'of', 'man', 'he', 'would', 'be', ',', 'he', 'came', 'near', 'being', 'handed', 'over', 'to', 'the', 'Eleven', 'The', 'officers', 'appointed', 'to', 'execute', 'condemned', 'criminals', '.']",person,he,2,16,Male,-1,14,2,perseus,4
49,49,"He was compelled to drop his prisoners and captures , and cut his way out , losing some five hundred officers and men , among them a most valuable officer , Colonel Harrison , who , when fighting his men as skirmishers on foot , was overcome and made prisoner , and is now at Macon .","['He', 'was', 'compelled', 'to', 'drop', 'his', 'prisoners', 'and', 'captures', ',', 'and', 'cut', 'his', 'way', 'out', ',', 'losing', 'some', 'five', 'hundred', 'officers', 'and', 'men', ',', 'among', 'them', 'a', 'most', 'valuable', 'officer', ',', 'Colonel', 'Harrison', ',', 'who', ',', 'when', 'fighting', 'his', 'men', 'as', 'skirmishers', 'on', 'foot', ',', 'was', 'overcome', 'and', 'made', 'prisoner', ',', 'and', 'is', 'now', 'at', 'Macon', '.']",officer,his,29,38,Male,1,12,3,perseus,21
50,50,"At any rate , Philotas , the physician of Amphissa , used to tell my grandfather , Lamprias , that he was in Alexandria at this time , studying his profession , and that having got well acquainted with one of the royal cooks , he was easily persuaded by him ( young man that he was ) to take a view of the extravagant preparations for a royal supper .","['At', 'any', 'rate', ',', 'Philotas', ',', 'the', 'physician', 'of', 'Amphissa', ',', 'used', 'to', 'tell', 'my', 'grandfather', ',', 'Lamprias', ',', 'that', 'he', 'was', 'in', 'Alexandria', 'at', 'this', 'time', ',', 'studying', 'his', 'profession', ',', 'and', 'that', 'having', 'got', 'well', 'acquainted', 'with', 'one', 'of', 'the', 'royal', 'cooks', ',', 'he', 'was', 'easily', 'persuaded', 'by', 'him', '(', 'young', 'man', 'that', 'he', 'was', ')', 'to', 'take', 'a', 'view', 'of', 'the', 'extravagant', 'preparations', 'for', 'a', 'royal', 'supper', '.']",physician,he,7,45,Male,1,38,4,perseus,9
51,51,"The writer is fully aware he has written in a rambling manner , and for such an offense he pleads in extenuation the natural time - honored privilege that is kindly granted to age and the reminiscent period .","['The', 'writer', 'is', 'fully', 'aware', 'he', 'has', 'written', 'in', 'a', 'rambling', 'manner', ',', 'and', 'for', 'such', 'an', 'offense', 'he', 'pleads', 'in', 'extenuation', 'the', 'natural', 'time', '-', 'honored', 'privilege', 'that', 'is', 'kindly', 'granted', 'to', 'age', 'and', 'the', 'reminiscent', 'period', '.']",writer,he,1,18,Male,-1,17,2,perseus,11
52,52,Child and his gifted wife .,"['Child', 'and', 'his', 'gifted', 'wife', '.']",Child,his,0,2,Male,1,3,1,perseus,20
53,53,"The mate motioned to two of the awe - struck by standers , and the refractory sailor was speedily confined , presenting his bare back for his punishment , without making any resistance .","['The', 'mate', 'motioned', 'to', 'two', 'of', 'the', 'awe', '-', 'struck', 'by', 'standers', ',', 'and', 'the', 'refractory', 'sailor', 'was', 'speedily', 'confined', ',', 'presenting', 'his', 'bare', 'back', 'for', 'his', 'punishment', ',', 'without', 'making', 'any', 'resistance', '.']",sailor,his,16,22,Male,1,6,2,perseus,21
54,54,"When visiting a friend , he was invited to take a drink , but declined , on the score of his pledge ; when his friend suggested lemonade , which was accepted .","['When', 'visiting', 'a', 'friend', ',', 'he', 'was', 'invited', 'to', 'take', 'a', 'drink', ',', 'but', 'declined', ',', 'on', 'the', 'score', 'of', 'his', 'pledge', ';', 'when', 'his', 'friend', 'suggested', 'lemonade', ',', 'which', 'was', 'accepted', '.']",friend,he,25,5,Male,0,20,3,perseus,12
